text_unit_ids,entity_ids,id
91463b5c2ee8f09bd80669546924f65b,"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae'
 '3671ea0dd4e84c1a9b02c5ab2c8f4bac' '19a7f254a5d64566ab5cc15472df02de'
 'e7ffaee9d31d4d3c96e04f911d0a8f9e' 'f7e11b0e297a44a896dc67928368f600']",91463b5c2ee8f09bd80669546924f65b
ddf013dc0ee0f038d5a08a73a547ffd1,"['b45241d70f0e43fca764df95b2b81f77' 'f90eeff4d1084a3083d25329aafce676'
 '8bb5c2b33a2a4164a5ac4f69fb90aac4' 'a021612ea50b47aa9cc1514c14aec1ae'
 '91ce70c7fdcb48b38d403ccaa251b14b' '99cdbecc99fe445b80f507befceee774'
 '1c26e28186024e7c94cc696c9c4dc46c' '1cedbe3f463543f9a3760a9ce9fb6234']",ddf013dc0ee0f038d5a08a73a547ffd1
5380dc0fda09ef750b04aa4f65e16455,"['4119fd06010c494caa07f439b333f4c5' 'f7e11b0e297a44a896dc67928368f600'
 '1fd3fa8bb5a2408790042ab9573779ee' '27f9fbe6ad8c4a8b9acee0d3596ed57c'
 'e1fd0e904a53409aada44442f23a51cb' 'de988724cfdf45cebfba3b13c43ceede'
 '96aad7cb4b7d40e9b7e13b94a67af206' 'c9632a35146940c2a86167c7726d35e9'
 '9646481f66ce4fd2b08c2eddda42fc82' 'd91a266f766b4737a06b0fda588ba40b'
 'bc0e3f075a4c4ebbb7c7b152b65a5625' '254770028d7a4fa9877da4ba0ad5ad21'
 '4a67211867e5464ba45126315a122a8a' '04dbbb2283b845baaeac0eaf0c34c9da'
 '1943f245ee4243bdbfbd2fd619ae824a' '273daeec8cad41e6b3e450447db58ee7']",5380dc0fda09ef750b04aa4f65e16455
69a1bec17dbf569312851ad00a5ce654,"['4119fd06010c494caa07f439b333f4c5' '3671ea0dd4e84c1a9b02c5ab2c8f4bac'
 'f7e11b0e297a44a896dc67928368f600' '1fd3fa8bb5a2408790042ab9573779ee'
 'e1fd0e904a53409aada44442f23a51cb' '04dbbb2283b845baaeac0eaf0c34c9da'
 '3d6b216c14354332b1bf1927ba168986' '1c109cfdc370463eb6d537e5b7b382fb'
 'dde131ab575d44dbb55289a6972be18f' 'de9e343f2e334d88a8ac7f8813a915e5'
 '91deb9f152264e958d106d481ff2e1ee' '83e83df32b334e24bf64314ecf4395bb'
 '04f79ccf3b4246efba0a76fa8b3481ce' '19ccbc35bf1b44b2984f2720cae86b02'
 'f3f8f4763ff24b37a7d2bc6eab1fc98a']",69a1bec17dbf569312851ad00a5ce654
9a3b1871f8e5cf06869559aabd3eb6df,"['4119fd06010c494caa07f439b333f4c5' '1fd3fa8bb5a2408790042ab9573779ee'
 'e69dc259edb944ea9ea41264b9fcfe59' 'a135859c7d3d4d3596f1e4ab218eff8a'
 '7f9810b292184a679e56fbfca9b6b1a9' 'df1c45e51b6d414481566eb785abb14b'
 '944be050cb4b4c57ad7a21afa95b2c8d' '4cec7848853c48299a906ab8471995d3'
 '2d61f91befc64276ba065b7fc702951f']",9a3b1871f8e5cf06869559aabd3eb6df
c82fde1794989a378ef57fa62d3220ff,"['4119fd06010c494caa07f439b333f4c5' '1fd3fa8bb5a2408790042ab9573779ee'
 '1c109cfdc370463eb6d537e5b7b382fb' 'f3018b934ac241639a33c925c24bc507'
 '183f3a0b73ff41c5bb4a19fd7adf0c1d' 'b8b18b50a0a34e65828e2137e1382a15'
 'f3f8f4763ff24b37a7d2bc6eab1fc98a' '3f6c9582faef455ea21a754f52cc1194'
 'a9bf3ae1482c4821865f089a0589610b' 'b828e93433b14923b35a622a4470e0e8']",c82fde1794989a378ef57fa62d3220ff
e69f2feab601ced3fe0a9d83dbf8cb11,"['d3835bf3dda84ead99deadbeac5d0d7d' '1675e75d7b524d4ab236eeaefd2dc992'
 'bb9cc86e746a4a01b4d4d99db986d2cf' '4d298e8e12fc4fc6aecc9e1985c1f9f8'
 'b7a22279503e4b3b9f2e84ebb766c389' 'cd8986e6c1b74297b28949435e29ed7a'
 'a295b3b0c34248ebbec1e96e504eb201' '5a4637a0c472498eadf9dc583967fef1']",e69f2feab601ced3fe0a9d83dbf8cb11
6699aba7650f2ec94e37cbcce8985e53,"['3671ea0dd4e84c1a9b02c5ab2c8f4bac' 'f7e11b0e297a44a896dc67928368f600'
 '1fd3fa8bb5a2408790042ab9573779ee' 'e2f5735c7d714423a2c4f61ca2644626'
 '37892f697dea4f3187103137b08a08aa' '57fe3334769b45b0943c2ed8588cbcb4'
 '9696336548814b2ab1fdc649438da1c3' 'fb53641c5124420ca4d6a1365c895039'
 '96d533f7dab34453a5ca871e9c01c8b7']",6699aba7650f2ec94e37cbcce8985e53
2ede99893d89c0e020b5ab265d59573e,"['19a7f254a5d64566ab5cc15472df02de' 'e2f5735c7d714423a2c4f61ca2644626'
 '8815ed80f9b741dbb458d902024f34a4' '1fee51d6f4614127a3e1cc80d018506e'
 '44fa3d2247904198b1c776e060d35eb2' '4b43619c5c6a4ea3826bfd3c06aa6e66'
 '2a0f4a405f374e68814fd7e82a94c6ca' '5879717e76234f4ca2eb783d605040ee']",2ede99893d89c0e020b5ab265d59573e
42da0fa230e636658edd7124f316ae0a,"['19a7f254a5d64566ab5cc15472df02de' 'e2f5735c7d714423a2c4f61ca2644626'
 '1fee51d6f4614127a3e1cc80d018506e' '44fa3d2247904198b1c776e060d35eb2'
 '4b43619c5c6a4ea3826bfd3c06aa6e66' '2a0f4a405f374e68814fd7e82a94c6ca'
 '0adacff1919b415fb586dae301c3a05c' 'e6c0fed90e414bfc91c48eb5a6a82929'
 '4c3cb8429a0c4bcc9cf042087ce7a112' '5f05d82ef2cc441d8d2d078be7a34d91'
 '56ac02cf5df34cfd9813fa613481b3c5']",42da0fa230e636658edd7124f316ae0a
123f6b4bf506c6de1fa09d4bb1a40695,"['f7e11b0e297a44a896dc67928368f600' '1fd3fa8bb5a2408790042ab9573779ee'
 'e69dc259edb944ea9ea41264b9fcfe59' 'e2f5735c7d714423a2c4f61ca2644626'
 'deece7e64b2a4628850d4bb6e394a9c3' 'e657b5121ff8456b9a610cfaead8e0cb'
 'bf4e255cdac94ccc83a56435a5e4b075' '3b040bcc19f14e04880ae52881a89c1c']",123f6b4bf506c6de1fa09d4bb1a40695
